,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
180,300750.SZ,20230817,234.99,236.5,228.88,235.25,232.6,2.65,1.1393,204427.73,4767790.092
181,600519.SH,20230817,1806.08,1834.0,1801.55,1828.05,1820.0,8.05,0.4423,17290.37,3141408.018
182,300750.SZ,20230816,231.52,234.38,230.11,232.6,231.3,1.3,0.562,140090.45,3263663.519
183,600519.SH,20230816,1807.58,1823.35,1806.0,1820.0,1812.98,7.02,0.3872,13184.31,2396261.791
184,300750.SZ,20230815,232.88,234.6,229.4,231.3,232.9,-1.6,-0.687,146100.73,3378905.588
185,600519.SH,20230815,1809.0,1818.0,1801.01,1812.98,1803.0,9.98,0.5535,14817.99,2682125.119
186,300750.SZ,20230814,239.2,239.98,230.21,232.9,241.5,-8.6,-3.5611,256932.18,6000203.547
187,600519.SH,20230814,1810.0,1824.98,1796.0,1803.0,1834.0,-31.0,-1.6903,23731.19,4285362.053
188,300750.SZ,20230811,248.95,248.95,241.5,241.5,246.5,-5.0,-2.0284,172040.64,4212036.44
189,600519.SH,20230811,1885.0,1885.4,1833.88,1834.0,1875.0,-41.0,-2.1867,26786.49,4959166.751
190,300750.SZ,20230810,247.9,251.33,244.12,246.5,247.0,-0.5,-0.2024,140409.64,3469375.411
191,600519.SH,20230810,1882.0,1889.0,1862.3,1875.0,1890.28,-15.28,-0.8083,18436.19,3454219.14
192,300750.SZ,20230809,245.5,247.68,243.14,247.0,247.14,-0.14,-0.0566,116846.61,2873152.335
193,600519.SH,20230809,1890.0,1905.0,1882.96,1890.28,1890.0,0.28,0.0148,18523.46,3506306.394
194,300750.SZ,20230808,245.98,249.33,244.88,247.14,246.49,0.65,0.2637,150666.76,3733050.029
195,600519.SH,20230808,1880.03,1893.71,1864.08,1890.0,1887.93,2.07,0.1096,17736.18,3333559.505
196,300750.SZ,20230807,244.5,246.94,243.31,246.49,245.51,0.98,0.3992,149277.49,3665507.786
197,600519.SH,20230807,1880.95,1898.0,1871.03,1887.93,1893.47,-5.54,-0.2926,23892.45,4491893.14
198,300750.SZ,20230804,245.0,249.96,241.11,245.51,239.14,6.37,2.6637,315696.75,7737835.221
199,600519.SH,20230804,1887.82,1906.52,1882.0,1893.47,1878.47,15.0,0.7985,24573.64,4655813.751
200,300750.SZ,20230803,236.0,239.97,235.53,239.14,236.5,2.64,1.1163,161805.26,3859823.089
201,600519.SH,20230803,1870.0,1890.0,1850.5,1878.47,1880.0,-1.53,-0.0814,21543.47,4031087.705
202,300750.SZ,20230802,237.0,239.49,235.5,236.5,235.5,1.0,0.4246,141471.85,3350493.845
203,600519.SH,20230802,1883.4,1890.0,1866.8,1880.0,1889.0,-9.0,-0.4764,18508.72,3478674.239
204,300750.SZ,20230801,237.4,239.1,234.5,235.5,237.75,-2.25,-0.9464,156151.68,3695389.757
205,600519.SH,20230801,1878.01,1906.95,1877.89,1889.0,1880.58,8.42,0.4477,19230.62,3635857.283
206,300750.SZ,20230731,234.0,239.5,233.1,237.75,230.05,7.7,3.3471,299027.54,7103701.375
207,600519.SH,20230731,1908.0,1935.0,1874.0,1880.58,1897.0,-16.42,-0.8656,45378.61,8615279.839
208,300750.SZ,20230728,226.98,231.0,225.05,230.05,226.98,3.07,1.3525,188030.95,4304001.295
209,600519.SH,20230728,1832.0,1900.0,1828.01,1897.0,1838.03,58.97,3.2083,39017.92,7330314.112
210,300750.SZ,20230727,231.0,232.88,226.88,226.98,226.66,0.32,0.1412,208592.35,4786800.628
211,600519.SH,20230727,1836.0,1854.79,1828.7,1838.03,1828.55,9.48,0.5184,20340.43,3749635.29
212,300750.SZ,20230726,225.12,227.0,223.66,226.66,226.35,0.31,0.137,154567.86,3484702.635
213,600519.SH,20230726,1828.55,1835.99,1815.08,1828.55,1828.55,0.0,0.0,19611.45,3580171.484
214,300750.SZ,20230725,224.9,227.64,221.02,226.35,218.98,7.37,3.3656,192862.45,4336672.444
215,600519.SH,20230725,1800.0,1828.88,1799.99,1828.55,1771.15,57.4,3.2408,43086.46,7837450.019
216,300750.SZ,20230724,217.15,220.88,214.14,218.98,221.59,-2.61,-1.1779,137193.39,2990356.787
217,600519.SH,20230724,1750.52,1771.15,1750.52,1771.15,1771.3,-0.15,-0.0085,19713.37,3476648.177
218,300750.SZ,20230721,220.85,222.98,219.76,221.59,221.05,0.54,0.2443,83935.26,1858027.959
219,600519.SH,20230721,1731.88,1772.5,1726.0,1771.3,1724.0,47.3,2.7436,39377.4,6931535.726
220,300750.SZ,20230720,219.0,226.69,219.0,221.05,219.5,1.55,0.7062,144416.48,3226693.428
221,600519.SH,20230720,1727.99,1748.98,1722.0,1724.0,1723.0,1.0,0.058,16692.65,2897176.49
222,300750.SZ,20230719,224.0,224.95,218.58,219.5,225.5,-6.0,-2.6608,176001.82,3880774.172
223,600519.SH,20230719,1715.01,1728.0,1713.8,1723.0,1722.8,0.2,0.0116,12483.22,2147704.435
224,300750.SZ,20230718,227.8,227.88,224.5,225.5,225.65,-0.15,-0.0665,85757.76,1934097.474
225,600519.SH,20230718,1733.58,1734.51,1721.0,1722.8,1729.97,-7.17,-0.4145,14737.65,2544005.063
226,300750.SZ,20230717,227.01,228.0,223.6,225.65,228.28,-2.63,-1.1521,104525.22,2354412.854
227,600519.SH,20230717,1751.0,1751.0,1726.6,1729.97,1753.0,-23.03,-1.3137,14336.48,2482069.846
228,300750.SZ,20230714,230.15,230.93,226.55,228.28,230.0,-1.72,-0.7478,130040.91,2971007.806
229,600519.SH,20230714,1756.0,1758.5,1741.2,1753.0,1738.4,14.6,0.8399,18550.3,3245530.255
230,300750.SZ,20230713,228.21,235.0,228.21,230.0,226.99,3.01,1.326,222576.72,5166809.846
